N,Time(ms),Cycles,Instructions,Branches,Branch-misses
64,2.44,3718089,4849758,802072,20085
128,1.52,<notcounted>,<notcounted>,<notcounted>,<notcounted>
256,2.23,3612702,5115764,838145,19268
512,2.70,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1024,1.72,3355354,4302551,715735,17458
2048,2.96,4572528,4128424,789162,14766
4096,1.63,3681613,4782022,781977,17654
8192,3.14,4014598,6217664,984756,18813
16384,2.24,4421079,7328257,1138855,18534
32768,4.50,<notcounted>,<notcounted>,<notcounted>,<notcounted>
65536,4.84,6528396,14592980,2151305,18350
131072,3.96,9885564,24894139,3583926,18205
262144,9.62,17786556,54298341,7616511,6907
524288,26.76,31839268,110606187,15290641,6517
1048576,29.57,64586746,221558617,30622099,6963
2097152,32.53,103795002,335597243,46821272,23355
4194304,67.49,205186345,668931610,93187579,26307
8388608,129.42,430272649,1384620317,192219985,25146
16777216,222.23,831086226,2741937257,381085250,33737
33554432,434.88,1620302166,5323053913,740316715,78846
67108864,878.52,3261279260,10639182381,1479617314,154939
134217728,1698.48,6394929655,21348602815,2968327423,311903
268435456,3334.60,12613325370,42584879381,5922107755,551614
536870912,6786.79,25567744375,86142879627,11978233551,1201931
