N,Time(ms),Cycles,Instructions,Branches,Branch-misses
64,1.15,3185779,4113147,688952,16103
128,1.77,3073059,4115372,688732,17565
256,2.28,3303927,4360975,723720,18239
512,1.73,2802703,4147632,694083,17108
1024,2.10,3018859,4162638,696553,17357
2048,2.39,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4096,1.87,3110853,4220747,705263,17481
8192,1.77,2817987,4325606,722858,16807
16384,2.28,3258130,4515134,752373,17071
32768,1.95,3433820,4981562,829028,18140
65536,2.68,3925897,5839511,966125,18502
131072,6.18,6203303,8883080,1469438,9850
262144,5.07,6916368,10829826,1762136,18857
524288,11.62,14036273,21608035,3388728,35112
1048576,14.06,20459911,31081477,4992990,20664
2097152,19.18,40447111,62802769,10050228,7848
4194304,32.64,75680165,115591463,18494427,17840
8388608,50.40,140209124,218488556,34899446,29392
16777216,82.70,271112136,440121773,70049618,49844
33554432,151.18,537842342,878852897,139553098,67863
67108864,301.22,1090105812,1761109082,279445854,128516
134217728,590.91,2173865482,3537224722,561014664,267400
268435456,1150.30,4279063236,7090418902,1124417249,447342
536870912,2596.35,9681118726,15026039951,2391058025,1614008
