N,Time(ms),Cycles,Instructions,Branches,Branch-misses
64,1.91,3004820,4287375,717800,17691
128,2.33,<notcounted>,<notcounted>,<notcounted>,<notcounted>
256,2.30,<notcounted>,<notcounted>,<notcounted>,<notcounted>
512,2.05,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1024,2.07,3245740,7064690,1355307,11579
2048,1.35,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4096,1.88,2870389,4208087,704329,16694
8192,2.09,2896876,4275662,715723,17175
16384,1.12,3082408,4578778,766210,17480
32768,2.85,3534738,5111183,851307,18907
65536,2.20,3533957,5476868,919076,17584
131072,2.42,4788595,6788997,1139478,17657
262144,4.87,6102879,9346483,1570353,18107
524288,5.50,9185222,14509466,2439255,17801
1048576,11.99,16685930,24953947,4194723,18702
2097152,20.49,32334310,45837918,7705113,22539
4194304,25.33,64539180,86719783,14588996,25194
8388608,42.79,136534942,170422861,28650886,30819
16777216,87.63,271667480,340992544,57071397,46262
33554432,154.76,545334471,681751758,113820613,66763
67108864,314.14,1109846456,1366457653,227848265,125706
134217728,589.41,2153157095,2740850237,456659957,288071
268435456,1204.75,4409589964,5497746831,915592112,687871
536870912,2210.06,8269092769,11056224829,1840769328,1224707
