N,Time(ms),Cycles,Instructions,Branches,Branch-misses
64,1.75,2992548,4077521,681281,17055
128,1.94,2887067,4089711,682950,16731
256,1.59,3066261,4100042,684178,16468
512,1.09,3050637,4129927,688182,15871
1024,1.77,3189698,4211454,699339,16822
2048,1.83,2963475,4376691,722285,16788
4096,3.41,<notcounted>,<notcounted>,<notcounted>,<notcounted>
8192,2.17,3339250,5390492,864739,15826
16384,2.42,3584060,6661048,1040903,16628
32768,2.03,4681070,9280887,1406581,17516
65536,6.03,7179678,21013420,2992675,7316
131072,4.28,9116667,24799770,3566398,17211
262144,9.05,15619603,45518029,6450222,20092
524288,24.90,38332079,97566005,12974389,70222
1048576,22.57,61709125,179117546,25983407,23794
2097152,33.65,107892242,350182423,48791410,13536
4194304,64.05,205345265,668815211,93104012,29524
8388608,170.04,502870988,1892921241,258757648,25345
16777216,218.82,789204113,2659278579,370022384,55359
33554432,425.57,1576592198,5321562308,740238354,87511
67108864,831.09,3105420852,10645212232,1480566014,140902
134217728,1660.17,6242752519,21342996281,2968026475,246809
268435456,3268.78,12355759808,42598139805,5924065438,523729
536870912,6523.39,24678155667,85428706315,11888459581,1193334
