N,Time(ms),Cycles,Instructions,Branches,Branch-misses
64,1.11,3081431,4029095,673599,15656
128,2.41,<notcounted>,<notcounted>,<notcounted>,<notcounted>
256,1.86,3110322,4039775,675265,16228
512,2.24,<notcounted>,<notcounted>,<notcounted>,<notcounted>
1024,2.15,2875567,4026363,673193,16072
2048,1.96,<notcounted>,<notcounted>,<notcounted>,<notcounted>
4096,2.07,2942234,4148034,692497,16454
8192,1.45,2679102,4032421,673702,16471
16384,1.62,2937841,4017903,671360,16837
32768,1.30,2963161,4028322,672813,16391
65536,1.97,2866239,4053162,677010,16132
131072,2.11,3178344,4757310,785682,17831
262144,3.31,2626942,4036895,674901,15871
524288,3.06,2668347,1028804,172514,10644
1048576,2.09,2819828,4035105,674014,16579
2097152,1.59,2563356,4023464,672653,16224
4194304,1.60,2686113,4021111,671458,16114
8388608,2.05,2638152,4026489,673259,15573
16777216,1.72,2897458,4022650,672922,16553
33554432,1.78,2858170,4034213,674314,15925
67108864,2.46,3527964,5518964,893427,20298
134217728,2.17,2904902,4027560,672510,16825
268435456,2.81,2704642,4024021,672709,16351
536870912,3.63,<notcounted>,<notcounted>,<notcounted>,<notcounted>
